type, no_of_threads, member_operations, insert_operations, delete_operations, time_interval
type, no_of_threads, member_operations, insert_operations, delete_operations, time_interval
MUTEX, 8, 9000, 500, 500, 22953
MUTEX, 8, 9000, 500, 500, 18465
MUTEX, 8, 9000, 500, 500, 17535
MUTEX, 8, 9000, 500, 500, 15191
MUTEX, 8, 9000, 500, 500, 13567
MUTEX, 8, 9000, 500, 500, 48558
MUTEX, 8, 9000, 500, 500, 15374
MUTEX, 8, 9000, 500, 500, 14690
MUTEX, 8, 9000, 500, 500, 15538
MUTEX, 8, 9000, 500, 500, 15019
MUTEX, 8, 9000, 500, 500, 15273
MUTEX, 8, 9000, 500, 500, 29729
MUTEX, 8, 9000, 500, 500, 28543
MUTEX, 8, 9000, 500, 500, 26476
MUTEX, 8, 9000, 500, 500, 26336
MUTEX, 8, 9000, 500, 500, 18318
MUTEX, 8, 9000, 500, 500, 14166
MUTEX, 8, 9000, 500, 500, 13998
MUTEX, 8, 9000, 500, 500, 15612
MUTEX, 8, 9000, 500, 500, 27744
MUTEX, 8, 9000, 500, 500, 30218
MUTEX, 8, 9000, 500, 500, 30228
MUTEX, 8, 9000, 500, 500, 26709
MUTEX, 8, 9000, 500, 500, 27060
MUTEX, 8, 9000, 500, 500, 27714
MUTEX, 8, 9000, 500, 500, 28574
MUTEX, 8, 9000, 500, 500, 28459
MUTEX, 8, 9000, 500, 500, 28722
MUTEX, 8, 9000, 500, 500, 18834
MUTEX, 8, 9000, 500, 500, 16580
MUTEX, 8, 9000, 500, 500, 13208
MUTEX, 8, 9000, 500, 500, 13440
MUTEX, 8, 9000, 500, 500, 13514
MUTEX, 8, 9000, 500, 500, 14053
MUTEX, 8, 9000, 500, 500, 14168
MUTEX, 8, 9000, 500, 500, 12988
MUTEX, 8, 9000, 500, 500, 14057
MUTEX, 8, 9000, 500, 500, 15631
MUTEX, 8, 9000, 500, 500, 14466
MUTEX, 8, 9000, 500, 500, 15817
MUTEX, 8, 9000, 500, 500, 16221
MUTEX, 8, 9000, 500, 500, 46696
MUTEX, 8, 9000, 500, 500, 41023
MUTEX, 8, 9000, 500, 500, 46311
MUTEX, 8, 9000, 500, 500, 39535
MUTEX, 8, 9000, 500, 500, 21230
MUTEX, 8, 9000, 500, 500, 21374
MUTEX, 8, 9000, 500, 500, 20680
MUTEX, 8, 9000, 500, 500, 20640
MUTEX, 8, 9000, 500, 500, 19912
MUTEX, 8, 9000, 500, 500, 21708
MUTEX, 8, 9000, 500, 500, 29629
MUTEX, 8, 9000, 500, 500, 37354
MUTEX, 8, 9000, 500, 500, 32449
MUTEX, 8, 9000, 500, 500, 18912
MUTEX, 8, 9000, 500, 500, 16820
MUTEX, 8, 9000, 500, 500, 13771
MUTEX, 8, 9000, 500, 500, 15421
MUTEX, 8, 9000, 500, 500, 13993
MUTEX, 8, 9000, 500, 500, 13126
